command,delta_eps0.5_codebook_cosine_s0,delta_eps0.5_codebook_cosine_s1,delta_eps0.5_codebook_cosine_s2,delta_eps0.5_codebook_l2_s0,delta_eps0.5_codebook_l2_s1,delta_eps0.5_codebook_l2_s2,delta_eps0.5_pixel_mae_s0,delta_eps0.5_pixel_mae_s1,delta_eps0.5_pixel_mae_s2,delta_eps1_codebook_cosine_s0,delta_eps1_codebook_cosine_s1,delta_eps1_codebook_cosine_s2,delta_eps1_codebook_l2_s0,delta_eps1_codebook_l2_s1,delta_eps1_codebook_l2_s2,delta_eps1_pixel_mae_s0,delta_eps1_pixel_mae_s1,delta_eps1_pixel_mae_s2,delta_eps2_codebook_cosine_s0,delta_eps2_codebook_cosine_s1,delta_eps2_codebook_cosine_s2,delta_eps2_codebook_l2_s0,delta_eps2_codebook_l2_s1,delta_eps2_codebook_l2_s2,delta_eps2_pixel_mae_s0,delta_eps2_pixel_mae_s1,delta_eps2_pixel_mae_s2,delta_eps3_codebook_cosine_s0,delta_eps3_codebook_cosine_s1,delta_eps3_codebook_cosine_s2,delta_eps3_codebook_l2_s0,delta_eps3_codebook_l2_s1,delta_eps3_codebook_l2_s2,delta_eps3_pixel_mae_s0,delta_eps3_pixel_mae_s1,delta_eps3_pixel_mae_s2,eps0.5_codebook_cosine_s0,eps0.5_codebook_cosine_s1,eps0.5_codebook_cosine_s2,eps0.5_codebook_l2_s0,eps0.5_codebook_l2_s1,eps0.5_codebook_l2_s2,eps0.5_pixel_mae_s0,eps0.5_pixel_mae_s1,eps0.5_pixel_mae_s2,eps1_codebook_cosine_s0,eps1_codebook_cosine_s1,eps1_codebook_cosine_s2,eps1_codebook_l2_s0,eps1_codebook_l2_s1,eps1_codebook_l2_s2,eps1_pixel_mae_s0,eps1_pixel_mae_s1,eps1_pixel_mae_s2,eps2_codebook_cosine_s0,eps2_codebook_cosine_s1,eps2_codebook_cosine_s2,eps2_codebook_l2_s0,eps2_codebook_l2_s1,eps2_codebook_l2_s2,eps2_pixel_mae_s0,eps2_pixel_mae_s1,eps2_pixel_mae_s2,eps3_codebook_cosine_s0,eps3_codebook_cosine_s1,eps3_codebook_cosine_s2,eps3_codebook_l2_s0,eps3_codebook_l2_s1,eps3_codebook_l2_s2,eps3_pixel_mae_s0,eps3_pixel_mae_s1,eps3_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,plan_ok,sample_token,scene
straight,0.17451,0.1338,0.12623,2.88205,1.99138,1.82581,0.01535,0.04287,0.0281,0.10441,0.02726,0.06992,1.36433,0.67647,1.08086,0.0059,0.02677,0.0249,0.04227,-0.05751,-0.00626,0.83095,-1.32621,0.42837,0.00459,0.00164,0.03583,0.04057,-0.05166,0.0046,0.58638,-1.34898,0.77552,0.00389,0.00035,0.04475,0.63917,0.74126,0.74902,15.13947,16.57466,17.37262,0.07246,0.10373,0.10273,0.56907,0.63472,0.69271,13.62175,15.25975,16.62767,0.06301,0.08763,0.09953,0.50693,0.54996,0.61653,13.08838,13.25707,15.97517,0.0617,0.06249,0.11046,0.50522,0.5558,0.62739,12.84381,13.2343,16.32233,0.061,0.06121,0.11938,0.46466,0.60746,0.62279,12.25743,14.58328,15.54681,0.05711,0.06086,0.07463,False,cdc90732e957479da6c8a80c9fad6f78,scene-0017
straight,0.12221,0.14238,0.35221,2.1905,2.65355,5.76557,0.02726,0.03176,0.0304,0.01092,0.18833,0.32476,0.13494,3.02803,5.03745,0.0114,0.03166,0.02701,-0.03741,-0.09034,0.17145,-0.91152,-1.54518,2.76394,-0.00222,-0.00552,0.00886,0.05345,-0.046,0.20853,0.68586,-0.79117,3.41705,0.00076,-0.00212,0.01298,0.64753,0.71776,0.7415,15.78122,16.9002,17.34942,0.08375,0.10462,0.08672,0.53623,0.7637,0.71405,13.72565,17.27468,16.6213,0.06789,0.10452,0.08333,0.4879,0.48504,0.56074,12.67919,12.70148,14.34779,0.05427,0.06734,0.06518,0.57876,0.52938,0.59782,14.27657,13.45548,15.00091,0.05724,0.07074,0.0693,0.52532,0.57538,0.38929,13.59071,14.24665,11.58385,0.05648,0.07286,0.05632,False,8b66733250b94940b0e7477c8b182512,scene-0017
straight,0.1338,0.12623,0.31006,1.99138,1.82581,5.48061,0.04287,0.0281,0.0201,0.02726,0.06992,0.24259,0.67647,1.08086,4.96035,0.02677,0.0249,0.0133,-0.04534,-0.00626,0.23729,-1.11593,0.42837,4.03768,0.00429,0.03583,0.00103,-0.05166,0.0046,0.22777,-1.34898,0.77552,4.01225,0.00035,0.04475,0.00152,0.74126,0.74902,0.73845,16.57466,17.37262,16.84228,0.10373,0.10273,0.08477,0.63472,0.69271,0.67098,15.25975,16.62767,16.32203,0.08763,0.09953,0.07797,0.56212,0.61653,0.66569,13.46735,15.97517,15.39936,0.06514,0.11046,0.06569,0.5558,0.62739,0.65617,13.2343,16.32233,15.37392,0.06121,0.11938,0.06618,0.60746,0.62279,0.4284,14.58328,15.54681,11.36167,0.06086,0.07463,0.06467,False,3d9f13edf73c4e25a484253ebf80f222,scene-0017
straight,0.14238,0.35221,0.08808,2.65355,5.76557,1.5882,0.03176,0.0304,0.01319,0.18833,0.32476,0.03868,3.02803,5.03745,0.88052,0.03166,0.02701,0.01737,-0.08092,0.17145,-0.00166,-1.40932,2.76394,-0.07931,-0.00287,0.00886,-0.0008,-0.046,0.20853,-0.04424,-0.79117,3.41705,-0.53752,-0.00212,0.01298,-9e-05,0.71776,0.7415,0.74887,16.9002,17.34942,17.21297,0.10462,0.08672,0.08215,0.7637,0.71405,0.69947,17.27468,16.6213,16.50529,0.10452,0.08333,0.08633,0.49446,0.56074,0.65913,12.83733,14.34779,15.54545,0.06999,0.06518,0.06816,0.52938,0.59782,0.61655,13.45548,15.00091,15.08725,0.07074,0.0693,0.06887,0.57538,0.38929,0.66079,14.24665,11.58385,15.62477,0.07286,0.05632,0.06896,False,2a271f85c90a45a9a6f33d9cc281943e,scene-0017
straight,0.12623,0.31006,0.21757,1.82581,5.48061,3.69698,0.0281,0.0201,0.01564,0.06992,0.24259,0.24947,1.08086,4.96035,4.03088,0.0249,0.0133,0.02442,0.00866,0.23729,0.05246,0.21911,4.03768,0.64754,0.00187,0.00103,0.0015,0.0046,0.22777,0.03925,0.77552,4.01225,0.36958,0.04475,0.00152,-0.00011,0.74902,0.73845,0.67429,17.37262,16.84228,16.4664,0.10273,0.08477,0.08046,0.69271,0.67098,0.70619,16.62767,16.32203,16.80029,0.09953,0.07797,0.08925,0.63145,0.66569,0.50918,15.76592,15.39936,13.41695,0.07651,0.06569,0.06632,0.62739,0.65617,0.49597,16.32233,15.37392,13.139,0.11938,0.06618,0.06471,0.62279,0.4284,0.45672,15.54681,11.36167,12.76941,0.07463,0.06467,0.06483,False,9a476217cc324813a5760c9852643324,scene-0017
straight,0.17547,0.08808,0.0469,2.98924,1.5882,1.10605,0.01851,0.01319,0.02304,0.14801,0.03868,-0.03544,2.26112,0.88052,-0.1455,0.01513,0.01737,0.00917,-0.01828,-0.00166,-0.08448,-0.20003,-0.07931,-0.28311,-0.00275,-0.0008,0.00415,0.00088,-0.04424,0.03913,0.11736,-0.53752,0.97762,0.00039,-9e-05,0.00414,0.7415,0.74887,0.73655,17.34942,17.21297,17.11209,0.08672,0.08215,0.09818,0.71405,0.69947,0.65422,16.6213,16.50529,15.86053,0.08333,0.08633,0.08431,0.54776,0.65913,0.60517,14.16015,15.54545,15.72293,0.06545,0.06816,0.07929,0.56692,0.61655,0.72878,14.47755,15.08725,16.98366,0.0686,0.06887,0.07928,0.56604,0.66079,0.68965,14.36018,15.62477,16.00604,0.0682,0.06896,0.07514,False,657b2fe881834950a629c05285b2055a,scene-0017
straight,0.11298,0.21757,0.17858,1.89714,3.69698,3.52772,0.01528,0.01564,0.02781,0.02937,0.24947,0.18581,1.04382,4.03088,3.53172,0.01221,0.02442,0.02366,-0.01541,0.05246,0.20662,-0.22483,0.64754,3.71082,0.00108,0.0015,0.01231,-0.02248,0.03925,0.20518,0.83944,0.36958,3.81965,0.05797,-0.00011,0.01272,0.75459,0.67429,0.71659,17.17535,16.4664,16.97924,0.08103,0.08046,0.1005,0.67098,0.70619,0.72382,16.32203,16.80029,16.98324,0.07797,0.08925,0.09634,0.62621,0.50918,0.74464,15.05338,13.41695,17.16235,0.06683,0.06632,0.08499,0.61913,0.49597,0.74319,16.11765,13.139,17.27117,0.12372,0.06471,0.0854,0.64161,0.45672,0.53801,15.2782,12.76941,13.45152,0.06575,0.06483,0.07268,False,a7eee1088f4a43f4b1c49324e4a6803e,scene-0017
straight,0.09234,0.0469,0.30547,1.52927,1.10605,4.5413,0.0155,0.02304,0.01909,0.02257,-0.03544,0.28487,0.46995,-0.1455,4.29735,0.01282,0.00917,0.02022,-0.01499,-0.08448,0.13985,-0.09302,-0.28311,2.32105,0.00166,0.00415,-0.00104,-0.04424,0.03913,0.08875,-0.53752,0.97762,1.37021,-9e-05,0.00414,-0.00293,0.75313,0.73655,0.78253,17.15404,17.11209,17.70871,0.08446,0.09818,0.10152,0.68336,0.65422,0.76193,16.09472,15.86053,17.46477,0.08178,0.08431,0.10266,0.6458,0.60517,0.61691,15.53175,15.72293,15.48846,0.07062,0.07929,0.08139,0.61655,0.72878,0.56581,15.08725,16.98366,14.53762,0.06887,0.07928,0.07951,0.66079,0.68965,0.47706,15.62477,16.00604,13.16742,0.06896,0.07514,0.08243,False,93d25b8eaa46429a997327e6e333f627,scene-0017
straight,0.15808,0.17858,0.00767,3.59628,3.52772,-0.01871,0.01932,0.02781,0.02213,0.10988,0.18581,0.00199,2.01731,3.53172,-0.04204,0.00825,0.02366,0.02467,0.04424,0.20662,0.01208,0.94027,3.71082,0.41703,0.00197,0.01231,0.00233,-0.01677,0.20518,0.01811,0.31919,3.81965,0.51363,0.00196,0.01272,0.00674,0.6642,0.71659,0.75091,16.43412,16.97924,17.31797,0.08241,0.1005,0.11187,0.616,0.72382,0.74524,14.85516,16.98324,17.29464,0.07134,0.09634,0.11441,0.55037,0.74464,0.75532,13.77811,17.16235,17.7537,0.06505,0.08499,0.09207,0.48935,0.74319,0.76135,13.15703,17.27117,17.85031,0.06505,0.0854,0.09648,0.50612,0.53801,0.74325,12.83784,13.45152,17.33668,0.06308,0.07268,0.08974,False,ce130b56a60242dfb4369eb62bac9478,scene-0017
straight,0.03259,0.30547,0.19891,0.76788,4.5413,3.39506,0.00571,0.01909,0.00645,-0.03405,0.28487,0.20885,0.04819,4.29735,3.26446,0.00497,0.02022,0.02693,0.03888,0.13985,-0.19178,0.79364,2.32105,-3.61098,0.00558,-0.00104,-0.01511,0.03913,0.08875,-0.00129,0.97762,1.37021,-0.00643,0.00414,-0.00293,-0.00274,0.72224,0.78253,0.75386,16.77391,17.70871,17.71703,0.08085,0.10152,0.09297,0.6556,0.76193,0.7638,16.05422,17.46477,17.58643,0.0801,0.10266,0.11344,0.72854,0.61691,0.36317,16.79967,15.48846,10.71099,0.08072,0.08139,0.07141,0.72878,0.56581,0.55366,16.98366,14.53762,14.31554,0.07928,0.07951,0.08378,0.68965,0.47706,0.55495,16.00604,13.16742,14.32197,0.07514,0.08243,0.08652,False,789b705cdbcd4e5bb43812186d612d7d,scene-0017
straight,0.03103,0.00767,0.22286,0.86242,-0.01871,3.82455,0.00565,0.02213,0.02406,0.16968,0.00199,0.32226,3.24872,-0.04204,5.13634,0.02002,0.02467,0.03528,0.1942,0.01208,0.00556,3.47815,0.41703,-0.06611,0.01042,0.00233,-0.00192,0.20518,0.01811,-0.01443,3.81965,0.51363,-0.23323,0.01272,0.00674,-0.00122,0.56904,0.75091,0.74153,14.31394,17.31797,17.6384,0.07833,0.11187,0.10997,0.70769,0.74524,0.84092,16.70024,17.29464,18.95018,0.09271,0.11441,0.12119,0.73221,0.75532,0.52423,16.92967,17.7537,13.74773,0.08311,0.09207,0.08398,0.74319,0.76135,0.50424,17.27117,17.85031,13.58061,0.0854,0.09648,0.08469,0.53801,0.74325,0.51867,13.45152,17.33668,13.81384,0.07268,0.08974,0.0859,False,43357fafe91d4c018e42f07f16fc383c,scene-0017
straight,-0.18215,0.19891,0.36546,-3.01639,3.39506,5.69373,-0.0009,0.00645,0.01822,0.03147,0.20885,0.51678,0.44641,3.26446,8.10096,0.0192,0.02693,0.04585,-0.0886,-0.19178,0.0036,-1.27825,-3.61098,-0.11917,-0.00282,-0.01511,-0.00065,-0.11053,-0.00129,0.0036,-1.49786,-0.00643,-0.11917,-0.00134,-0.00274,-0.00065,0.54831,0.75386,0.67347,14.00196,17.71703,16.05741,0.08256,0.09297,0.08882,0.76193,0.7638,0.8248,17.46477,17.58643,18.46464,0.10266,0.11344,0.11645,0.64186,0.36317,0.31162,15.74011,10.71099,10.24451,0.08064,0.07141,0.06995,0.61993,0.55366,0.31162,15.5205,14.31554,10.24451,0.08213,0.08378,0.06995,0.73046,0.55495,0.30801,17.01836,14.32197,10.36368,0.08346,0.08652,0.0706,False,470df44aab6241f4843137efa2e55b85,scene-0017
straight,0.00767,0.22286,-0.01382,-0.01871,3.82455,-0.64396,0.02213,0.02406,-0.00182,0.00199,0.32226,0.55261,-0.04204,5.13634,8.31965,0.02467,0.03528,0.05328,0.01208,0.00556,-0.0013,0.41703,-0.06611,-0.11677,0.00233,-0.00192,-0.00067,0.01811,-0.01443,0.00209,0.51363,-0.23323,-0.13699,0.00674,-0.00122,0.00088,0.75091,0.74153,0.33382,17.31797,17.6384,10.43245,0.11187,0.10997,0.06728,0.74524,0.84092,0.90025,17.29464,18.95018,19.39606,0.11441,0.12119,0.12237,0.75532,0.52423,0.34635,17.7537,13.74773,10.95965,0.09207,0.08398,0.06843,0.76135,0.50424,0.34974,17.85031,13.58061,10.93942,0.09648,0.08469,0.06997,0.74325,0.51867,0.34764,17.33668,13.81384,11.07641,0.08974,0.0859,0.0691,False,14684fc1b81a43888b992d553add01cf,scene-0017
straight,-0.28869,0.14617,0.16874,-5.07871,2.40177,2.56439,-0.04802,0.01127,0.03863,-0.02548,0.14767,0.15637,-0.76398,2.72301,2.51378,-0.01489,0.01887,0.03506,-0.0061,0.14081,-0.04708,0.7667,2.73381,-1.11829,0.05199,0.01642,-0.00348,0.01378,0.181,-0.08015,0.09582,3.12595,-1.48798,-0.00361,0.019,-0.00305,0.48967,0.74329,0.82057,12.80278,16.51162,17.62144,0.06917,0.07957,0.11071,0.75289,0.74479,0.8082,17.11751,16.83286,17.57083,0.10229,0.08718,0.10714,0.77227,0.73793,0.60475,18.64819,16.84366,13.93876,0.16917,0.08473,0.0686,0.79215,0.77812,0.57169,17.9773,17.2358,13.56907,0.11358,0.08731,0.06902,0.77836,0.59712,0.65183,17.88149,14.10985,15.05705,0.11719,0.0683,0.07208,False,f0e4797551024f9487a016ee9d9e29e1,scene-0018
straight,-0.06787,0.1782,0.27202,-1.13359,2.89362,3.92438,-0.00361,0.01887,0.04612,-0.02824,0.17874,0.24279,-0.72733,2.94547,3.3152,0.00606,0.01585,0.04614,0.00735,0.14176,0.12091,0.03048,2.27762,0.93976,-0.00657,0.0195,0.01045,0.01246,0.15586,0.12825,0.0211,2.26977,1.14604,-0.0067,0.0222,0.01173,0.73094,0.76085,0.87433,16.49372,16.72286,18.76387,0.09749,0.09189,0.12721,0.77056,0.76139,0.84509,16.89998,16.77471,18.15469,0.10717,0.08887,0.12723,0.80615,0.72442,0.72321,17.65779,16.10686,15.77925,0.09454,0.09252,0.09154,0.81127,0.73852,0.73056,17.64841,16.09902,15.98553,0.0944,0.09522,0.09282,0.7988,0.58265,0.60231,17.62731,13.82925,14.83949,0.1011,0.07302,0.08109,False,6cc2a560dacc42149e0780bfb6efe682,scene-0018
