command,copy_codebook_cosine_s0,copy_codebook_cosine_s1,copy_codebook_cosine_s2,copy_codebook_l2_s0,copy_codebook_l2_s1,copy_codebook_l2_s2,copy_pixel_mae_s0,copy_pixel_mae_s1,copy_pixel_mae_s2,delta_copy_codebook_cosine_s0,delta_copy_codebook_cosine_s1,delta_copy_codebook_cosine_s2,delta_copy_codebook_l2_s0,delta_copy_codebook_l2_s1,delta_copy_codebook_l2_s2,delta_copy_pixel_mae_s0,delta_copy_pixel_mae_s1,delta_copy_pixel_mae_s2,delta_plan_codebook_cosine_s0,delta_plan_codebook_cosine_s1,delta_plan_codebook_cosine_s2,delta_plan_codebook_l2_s0,delta_plan_codebook_l2_s1,delta_plan_codebook_l2_s2,delta_plan_pixel_mae_s0,delta_plan_pixel_mae_s1,delta_plan_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,plan_avgL2,plan_codebook_cosine_s0,plan_codebook_cosine_s1,plan_codebook_cosine_s2,plan_codebook_l2_s0,plan_codebook_l2_s1,plan_codebook_l2_s2,plan_ok,plan_pixel_mae_s0,plan_pixel_mae_s1,plan_pixel_mae_s2,plan_seg_err_s0,plan_seg_err_s1,plan_seg_err_s2,sample_token,scene
straight,0.87975,0.82538,0.75122,18.29388,17.51264,17.22893,0.09248,0.09232,0.09939,0.45823,0.2056,0.27326,6.88074,2.95376,4.78813,0.02621,0.01579,0.02771,0.23643,0.10833,0.26074,4.05686,2.10148,4.31512,0.0177,0.01728,0.02038,0.42152,0.61977,0.47796,11.41314,14.55889,12.4408,0.06627,0.07653,0.07168,1.26792,0.65796,0.72811,0.7387,15.47,16.66036,16.75591,True,0.08397,0.09381,0.09205,0.20774,2.27006,1.38836,2ff5689a089844f0a2097b1883916003,scene-0018
straight,0.79616,0.80442,0.80591,17.24114,17.32343,18.01559,0.09413,0.0916,0.11616,0.24997,0.33944,0.21461,4.12861,5.35446,3.32352,0.01497,0.02867,0.03272,0.14766,0.27501,-0.0063,2.30858,4.68936,-0.31503,0.00329,0.02739,-0.00542,0.54619,0.46498,0.59131,13.11252,11.96898,14.69207,0.07915,0.06293,0.08344,0.99915,0.69385,0.73999,0.58501,15.42111,16.65834,14.37704,True,0.08244,0.09032,0.07802,0.49687,1.6797,1.17337,e22c0bbea22343e7beffd77c44679a83,scene-0018
straight,0.82538,0.75122,0.79502,17.51264,17.22893,18.37098,0.09232,0.09939,0.13858,0.2056,0.27326,0.34038,2.95376,4.78813,5.73536,0.01579,0.02771,0.07315,0.07496,0.22943,0.0411,1.52681,4.0059,0.73181,0.01545,0.01107,0.00781,0.61977,0.47796,0.45464,14.55889,12.4408,12.63562,0.07653,0.07168,0.06543,1.89941,0.69473,0.70739,0.49574,16.08569,16.4467,13.36743,True,0.09198,0.08274,0.07324,1.44857,2.34667,2.76909,b16c13a33031451e97116a3149783fa9,scene-0018
straight,0.80442,0.80591,0.87159,17.32343,18.01559,19.46791,0.0916,0.11616,0.16807,0.33944,0.21461,0.12495,5.35446,3.32352,2.69692,0.02867,0.03272,0.06433,0.1748,0.16882,0.22117,3.45602,2.4131,4.98106,0.02145,0.00954,0.14934,0.46498,0.59131,0.74664,11.96898,14.69207,16.77099,0.06293,0.08344,0.10374,1.8289,0.63977,0.76012,0.96781,15.425,17.10517,21.75205,True,0.08437,0.09298,0.25308,1.38813,2.6964,2.28282,1cc4743fc70047ad8eac0777e43cfe57,scene-0018
left,0.75122,0.79502,0.87952,17.22893,18.37098,19.61408,0.09939,0.13858,0.17045,0.27326,0.34038,0.24776,4.78813,5.73536,4.41611,0.02771,0.07315,0.09422,0.46394,0.36574,0.18102,8.32858,5.95375,3.5278,0.13688,0.06965,0.05922,0.47796,0.45464,0.63176,12.4408,12.63562,15.19797,0.07168,0.06543,0.07623,0.92879,0.9419,0.82038,0.81278,20.76938,18.58937,18.72577,True,0.20855,0.13508,0.13546,1.18593,1.30925,0.83427,72f030bd5dd142d497c090dc04bb5697,scene-0018
left,0.80591,0.87159,0.82657,18.01559,19.46791,18.80107,0.11616,0.16807,0.14092,0.21461,0.12495,0.10339,3.32352,2.69692,1.93416,0.03272,0.06433,0.03791,-0.09416,-0.19033,-0.08025,-1.28153,-2.29668,-1.05317,-0.008,-0.02964,-0.00562,0.59131,0.74664,0.72317,14.69207,16.77099,16.8669,0.08344,0.10374,0.103,0.68837,0.49715,0.55631,0.64292,13.41054,14.47431,15.81373,True,0.07544,0.0741,0.09739,1.03185,0.40385,0.35552,e8dd2a90a84142b2aa1c42126d3f135b,scene-0018
left,0.79502,0.87952,0.82418,18.37098,19.61408,18.71675,0.13858,0.17045,0.14837,0.15461,0.24776,0.0977,2.77671,4.41611,1.39377,0.05277,0.09422,0.01191,-0.19632,0.15346,0.11881,-2.94056,2.98378,2.07214,-0.02014,0.04769,0.01285,0.64041,0.63176,0.72648,15.59427,15.19797,17.32298,0.08581,0.07623,0.13646,1.24486,0.44409,0.78522,0.84528,12.65371,18.18175,19.39512,True,0.06568,0.12392,0.14932,1.12477,1.20504,2.28384,82a88b409fe4435ea678f8f89ba34b74,scene-0018
left,0.87159,0.82657,0.79199,19.46791,18.80107,18.43427,0.16807,0.14092,0.12745,0.1169,0.10339,0.22308,2.28846,1.93416,3.21144,0.0657,0.03791,0.01796,0.08881,-0.00561,0.00749,1.90551,0.26488,-0.2394,0.06362,0.00175,-0.00471,0.75469,0.72317,0.56891,17.17945,16.8669,15.22284,0.10237,0.103,0.10949,1.34979,0.8435,0.71756,0.57639,19.08496,17.13179,14.98344,True,0.16599,0.10475,0.10478,0.28203,0.91744,3.60889,4d53bb70174b4e8db3913f50a7bc1590,scene-0018
left,0.87952,0.82418,0.65875,19.61408,18.71675,16.1549,0.17045,0.14837,0.11883,0.07398,0.0977,0.04033,1.34029,1.39377,0.65958,0.04664,0.01191,0.02041,0.037,0.14196,0.02942,0.85053,2.10581,0.29674,0.02684,0.01284,0.00531,0.80554,0.72648,0.61842,18.2738,17.32298,15.49532,0.12381,0.13646,0.09842,2.1452,0.84255,0.86843,0.64785,19.12433,19.42879,15.79206,True,0.15065,0.14931,0.10372,1.13487,1.7223,4.58027,b66b4277cf6145bbabb891ea7193dfa6,scene-0018
straight,0.82657,0.79199,0.70299,18.80107,18.43427,16.89612,0.14092,0.12745,0.10088,-0.03855,0.22308,0.07957,-0.40672,3.21144,1.04739,0.00942,0.01796,0.02047,-0.01251,0.08964,0.212,0.22966,0.61658,2.69098,0.00268,0.00012,0.05306,0.86512,0.56891,0.62342,19.20778,15.22284,15.84873,0.13149,0.10949,0.08042,0.53128,0.85261,0.65855,0.83542,19.43745,15.83941,18.53971,True,0.13418,0.10961,0.13347,0.68968,0.49451,0.62467,6611e3ee45484c5d80bd4703d458e518,scene-0018
straight,0.82418,0.65875,0.62548,18.71675,16.1549,15.9194,0.14837,0.11883,0.09747,0.15877,0.04033,0.06108,2.24376,0.65958,1.32013,0.0188,0.02041,0.01075,-0.02248,0.02254,0.07432,-0.07683,0.17841,1.51308,0.00333,-0.00335,0.00597,0.66541,0.61842,0.5644,16.47299,15.49532,14.59927,0.12957,0.09842,0.08672,0.60991,0.64293,0.64096,0.63873,16.39616,15.67373,16.11235,True,0.1329,0.09507,0.09269,0.24633,0.85963,1.20631,6d0cc921b3564b00ac7925cf529310ae,scene-0018
straight,0.79199,0.70299,0.74526,18.43427,16.89612,17.43991,0.12745,0.10088,0.10035,0.06835,0.07957,0.14515,1.08626,1.04739,2.97503,0.009,0.02047,0.02435,0.05339,0.11251,0.02984,0.69984,2.55631,0.81754,0.0103,0.05043,0.01037,0.72365,0.62342,0.60011,17.34801,15.84873,14.46488,0.11846,0.08042,0.076,2.03787,0.77704,0.73592,0.62994,18.04785,18.40504,15.28242,True,0.12875,0.13084,0.08636,1.21414,2.76891,2.18161,80406b20df8c43ad98e4a7d6b8de00ae,scene-0018
straight,0.65875,0.62548,0.80545,16.1549,15.9194,17.78678,0.11883,0.09747,0.11978,0.07768,0.06108,0.07192,0.90188,1.32013,1.35856,0.01686,0.01075,0.03317,0.18687,0.0434,0.10826,2.39992,0.10835,1.64485,0.00154,-0.00052,0.04326,0.58107,0.5644,0.73353,15.25302,14.59927,16.42822,0.10198,0.08672,0.08661,3.57429,0.76795,0.60781,0.84179,17.65294,14.70762,18.07307,True,0.10352,0.0862,0.12987,1.97088,4.05628,6.53814,1232e4600cb4400db443ae7e6a710c1c,scene-0018
straight,0.70299,0.74526,0.91273,16.89612,17.43991,18.95326,0.10088,0.10035,0.13945,0.07957,0.14515,0.34353,1.04739,2.97503,4.99673,0.02047,0.02435,0.058,0.08513,-0.00947,0.27756,1.06168,-0.17889,3.87706,0.01373,-0.00328,0.06144,0.62342,0.60011,0.5692,15.84873,14.46488,13.95653,0.08042,0.076,0.08145,3.22172,0.70854,0.59064,0.84676,16.91042,14.28598,17.83359,True,0.09415,0.07272,0.1429,1.80856,3.78195,5.63583,81f15cced544486daa6aa4d6b6bf17d9,scene-0018
straight,0.62548,0.80545,0.84266,15.9194,17.78678,17.92133,0.09747,0.11978,0.14533,0.06108,0.07192,0.11488,1.32013,1.35856,1.271,0.01075,0.03317,0.04144,0.0478,0.13886,0.13909,0.55598,2.05443,1.71802,0.00531,0.04556,0.05184,0.5644,0.73353,0.72778,14.59927,16.42822,16.65033,0.08672,0.08661,0.10389,5.09804,0.6122,0.87239,0.86687,15.15525,18.48264,18.36835,True,0.09203,0.13218,0.15573,2.34431,5.96494,10.30339,dbffcc96729b420380ace0e08ad587d5,scene-0018
straight,0.74526,0.91273,0.87689,17.43991,18.95326,18.11711,0.10035,0.13945,0.15018,0.14515,0.34353,0.05629,2.97503,4.99673,0.27497,0.02435,0.058,0.00945,0.19984,0.23143,0.07283,2.78642,3.94717,0.70249,0.02007,0.05663,0.01262,0.60011,0.5692,0.8206,14.46488,13.95653,17.84214,0.076,0.08145,0.14072,4.03878,0.79995,0.80063,0.89343,17.2513,17.9037,18.54464,True,0.09607,0.13808,0.15334,2.23352,4.66154,7.52812,73ac66237c854ee69fc29e9b24860e41,scene-0018
straight,0.80545,0.84266,0.95445,17.78678,17.92133,19.42072,0.11978,0.14533,0.16292,0.07192,0.11488,0.01556,1.35856,1.271,-0.46095,0.03317,0.04144,-0.0039,0.11766,0.18234,-0.01597,1.627,2.32086,0.39689,0.03785,0.05679,0.02902,0.73353,0.72778,0.93889,16.42822,16.65033,19.88167,0.08661,0.10389,0.16682,7.94656,0.85119,0.91012,0.92292,18.05522,18.97119,20.27856,True,0.12446,0.16068,0.19583,3.59465,8.79898,16.33193,9fbcde13d96b43a8aee0f76aee3bfc65,scene-0018
left,0.91273,0.87689,0.91317,18.95326,18.11711,19.0513,0.13945,0.15018,0.17573,0.06255,0.05629,-0.00288,0.93317,0.27497,-0.34922,0.04115,0.00945,-0.00793,0.0075,0.08069,-0.05693,0.01123,1.90938,-0.37465,0.04676,0.0627,-0.0036,0.85018,0.8206,0.91605,18.0201,17.84214,19.40052,0.0983,0.14072,0.18366,9.72857,0.85768,0.90129,0.85912,18.03133,19.75152,19.02587,True,0.14506,0.20343,0.18006,4.39068,12.59306,15.39018,b1c6966bd3a547ed82273d837490e63a,scene-0018
left,0.84266,0.95445,0.9088,17.92133,19.42072,19.10978,0.14533,0.16292,0.17029,-0.01058,0.01556,-0.00916,-0.43277,-0.46095,-0.58666,0.01601,-0.0039,-0.02015,0.03086,0.01242,-0.03252,0.16184,0.72958,-1.25352,0.03428,0.03446,-0.0217,0.85324,0.93889,0.91796,18.3541,19.88167,19.69644,0.12932,0.16682,0.19044,11.766,0.88409,0.95131,0.88544,18.51595,20.61125,18.44292,True,0.1636,0.20128,0.16873,5.67846,13.39192,22.09531,b173607014c44dfd86cfee252561315f,scene-0018
left,0.87689,0.91317,0.98437,18.11711,19.0513,19.97432,0.15018,0.17573,0.16832,0.05864,-0.00288,0.07369,0.47706,-0.34922,0.95004,0.00344,-0.00793,-0.03523,0.02597,-0.00576,0.06334,-0.00926,0.35667,0.25689,0.01741,0.00945,-0.03167,0.81824,0.91605,0.91068,17.64005,19.40052,19.02429,0.14674,0.18366,0.20356,9.39026,0.84421,0.91029,0.97402,17.63078,19.75719,19.28117,True,0.16415,0.19311,0.17189,4.1188,11.50237,18.12218,3c23cd7c54034c298278d81d0b3d3954,scene-0018
left,0.95445,0.9088,1.00648,19.42072,19.10978,19.55463,0.16292,0.17029,0.16691,0.04377,-0.00916,0.06888,0.03602,-0.58666,-0.31876,-0.01397,-0.02015,-0.02106,-0.00245,0.02224,0.07849,0.59745,-0.22683,-0.07633,0.01026,-0.00749,-1e-05,0.91068,0.91796,0.9376,19.3847,19.69644,19.87339,0.17689,0.19044,0.18798,6.08038,0.90823,0.9402,1.01609,19.98215,19.46961,19.79706,True,0.18714,0.18294,0.18797,1.3365,6.83989,13.9208,07794b6977294d6185f1b4567cd10e4b,scene-0018
left,0.91317,0.98437,0.97851,19.0513,19.97432,18.72794,0.17573,0.16832,0.14106,0.03813,0.07369,0.08421,0.18776,0.95004,0.94592,0.00054,-0.03523,0.01545,0.17282,-0.04493,0.05638,2.37159,-0.61578,1.63508,0.04979,0.00716,0.06606,0.87505,0.91068,0.89431,18.86354,19.02429,17.78202,0.17519,0.20356,0.12561,5.76275,1.04787,0.86575,0.95069,21.23513,18.4085,19.4171,True,0.22498,0.21072,0.19167,1.87307,7.16164,12.77669,f8b5e98950ed483e92ece29c264c072e,scene-0018
left,0.9088,1.00648,0.93001,19.10978,19.55463,18.25431,0.17029,0.16691,0.1147,0.05409,0.06888,0.09902,0.31591,-0.31876,0.76514,-0.00016,-0.02106,-0.01903,0.06154,-0.01678,-0.03261,0.70062,-0.27764,-0.71287,0.01268,0.00647,-0.01578,0.85471,0.9376,0.83099,18.79387,19.87339,17.48917,0.17045,0.18798,0.13373,4.35965,0.91625,0.92082,0.79838,19.49449,19.59575,16.7763,True,0.18312,0.19445,0.11795,1.69301,4.7413,9.47939,56b2752879d247359f620173a94838c3,scene-0018
left,0.98437,0.97851,0.90513,19.97432,18.72794,17.93953,0.16832,0.14106,0.12438,0.07002,0.08421,-0.03288,0.99147,0.94592,-0.62232,-0.02698,0.01545,-0.02128,-0.00354,0.06537,0.0352,-0.0288,1.73187,0.65263,-0.02601,0.07596,0.03528,0.91435,0.89431,0.93801,18.98285,17.78202,18.56185,0.1953,0.12561,0.14565,4.68207,0.91081,0.95967,0.97321,18.95405,19.51389,19.21448,True,0.1693,0.20158,0.18093,1.47281,5.20449,9.77183,bb99cbc063344aa497ce11315ff5bf8d,scene-0018
straight,1.00648,0.93001,0.93562,19.55463,18.25431,19.02838,0.16691,0.1147,0.15292,0.05522,0.09902,-0.0071,-0.08205,0.76514,-0.52172,-5e-05,-0.01903,-0.02168,0.07445,0.10296,-0.03343,0.31958,1.27743,-0.58496,0.01146,-0.00028,-0.0208,0.95126,0.83099,0.94271,19.63668,17.48917,19.5501,0.16697,0.13373,0.17461,1.39581,1.02571,0.93394,0.90929,19.95627,18.7666,18.96515,True,0.17843,0.13345,0.15381,0.64907,2.42174,1.865,cf5c4b437daf4bb3ad68d0f88ea7bff2,scene-0018
straight,0.97851,0.90513,0.94287,18.72794,17.93953,18.98261,0.14106,0.12438,0.16215,0.05874,-0.03288,0.04743,0.5984,-0.62232,0.63818,0.00868,-0.02128,0.0268,0.03112,0.0075,0.01052,1.12832,0.22797,0.97346,0.06348,0.0247,0.0265,0.91977,0.93801,0.89543,18.12953,18.56185,18.34443,0.13238,0.14565,0.13535,2.73726,0.95089,0.94551,0.90595,19.25786,18.78982,19.31789,True,0.19586,0.17035,0.16185,1.43457,2.94043,5.22065,8610dd7c403e48dd91ad1bb1ef77b308,scene-0018
straight,0.93001,0.93562,0.88501,18.25431,19.02838,18.74618,0.1147,0.15292,0.16573,0.05604,-0.0071,-0.06943,0.3648,-0.52172,-1.46609,-0.02591,-0.02168,-0.04761,0.03597,0.04668,0.07414,0.57947,0.24071,0.3029,0.00342,0.02517,-0.06056,0.87397,0.94271,0.95444,17.88951,19.5501,20.21228,0.14061,0.17461,0.21334,1.22357,0.90994,0.98939,1.02859,18.46898,19.79081,20.51518,True,0.14402,0.19977,0.15278,0.65934,1.69632,2.54239,e9b9031b8f5f41e89bd5eed158feaf14,scene-0018
right,0.90513,0.94287,0.97152,17.93953,18.98261,19.51096,0.12438,0.16215,0.16458,0.04747,0.04743,0.19105,0.46972,0.63818,1.76045,0.00684,0.0268,0.00224,0.14348,0.11151,-0.01968,2.0941,2.14177,-0.23926,0.06716,0.05619,-0.00891,0.85766,0.89543,0.78047,17.46981,18.34443,17.75051,0.11753,0.13535,0.16235,0.70638,1.00114,1.00695,0.7608,19.56391,20.48621,17.51125,True,0.1847,0.19154,0.15344,1.33919,0.5003,0.95392,a6be1b51213443ba9991585f56a30c71,scene-0018
right,0.69961,0.77301,0.75212,15.8571,17.00681,17.13235,0.15634,0.16081,0.19259,0.11379,-0.04262,0.27812,1.73316,-1.72825,4.32625,0.03994,0.00377,0.10636,-0.01097,0.02453,0.33733,-0.0486,0.25338,4.93186,-0.00109,0.02424,0.04636,0.58581,0.81563,0.474,14.12394,18.73506,12.8061,0.1164,0.15705,0.08623,5.01974,0.57485,0.84016,0.81133,14.07534,18.98845,17.73796,True,0.11531,0.18129,0.13259,2.9256,5.90866,7.59887,d62b0f9db06440c695781c52ed71909a,scene-0035
right,0.70555,0.71629,0.72476,16.52708,17.1704,16.77988,0.16459,0.18605,0.1321,-0.09152,0.07043,0.0945,-1.46772,1.17564,1.47615,0.01713,0.04465,0.01985,-0.19695,-0.06903,0.21099,-2.98337,-1.19724,3.07251,-0.01111,-0.01,0.01269,0.79707,0.64586,0.63026,17.9948,15.99476,15.30373,0.14746,0.1414,0.11225,8.49074,0.60012,0.57683,0.84125,15.01143,14.79752,18.37624,True,0.13635,0.13141,0.12494,5.82286,8.82328,15.45821,fe87516995a947d285cd5d815f479eaf,scene-0035
right,0.77301,0.75212,0.71526,17.00681,17.13235,16.15387,0.16081,0.19259,0.10211,-0.00086,0.27812,0.0125,-0.79385,4.32625,-0.28351,0.01235,0.10636,0.00739,0.00938,0.16592,-0.03927,-0.1365,2.15258,-1.83138,0.00416,0.03418,-0.01177,0.77387,0.474,0.70276,17.80067,12.8061,16.43738,0.14846,0.08623,0.09472,6.11912,0.78325,0.63992,0.66348,17.66417,14.95868,14.60599,True,0.15263,0.12041,0.08295,3.26661,8.53861,8.35128,60341918a107414c9c44a9bfe169c9e4,scene-0035
right,0.71629,0.72476,0.681,17.1704,16.77988,16.11908,0.18605,0.1321,0.1126,0.18267,0.0945,0.11083,3.03933,1.47615,1.53299,0.06155,0.01985,0.02962,0.22437,0.22528,-0.02665,3.64431,3.02702,-0.88117,0.04405,0.01924,-0.0005,0.53362,0.63026,0.57017,14.13107,15.30373,14.58609,0.1245,0.11225,0.08298,6.30152,0.75799,0.85554,0.54352,17.77538,18.33076,13.70491,True,0.16854,0.13149,0.08247,5.00111,7.47087,8.79933,17d6152bed1f4d97928dedad04c0d7b8,scene-0035
right,0.75212,0.71526,0.64868,17.13235,16.15387,15.62302,0.19259,0.10211,0.09319,0.27812,0.0125,0.04989,4.32625,-0.28351,0.99081,0.10636,0.00739,0.00881,-0.02305,-0.18402,0.10907,-0.30021,-3.40992,1.63495,0.00391,-0.0176,0.00872,0.474,0.70276,0.59879,12.8061,16.43738,14.63221,0.08623,0.09472,0.08437,2.55145,0.45095,0.51873,0.70787,12.50589,13.02746,16.26715,True,0.09014,0.07711,0.0931,1.00698,3.00605,5.11083,020154f4d8cd4e8582c4a02f10d70d7a,scene-0035
right,0.72476,0.681,0.64728,16.77988,16.11908,15.38616,0.1321,0.1126,0.08635,0.0945,0.11083,-0.00823,1.47615,1.53299,0.277,0.01985,0.02962,0.00611,0.01646,0.16049,0.05597,0.51786,1.94355,1.04076,0.00054,0.01907,0.00531,0.63026,0.57017,0.65551,15.30373,14.58609,15.10916,0.11225,0.08298,0.08024,7.0296,0.64672,0.73066,0.71148,15.82159,16.52963,16.14992,True,0.1128,0.10204,0.08556,2.4885,7.11445,14.59339,a3d2c3ca40b3455396e7ae776f523ea0,scene-0035
right,0.71526,0.64868,0.67033,16.15387,15.62302,15.66366,0.10211,0.09319,0.0889,0.0125,0.04989,-0.09877,-0.28351,0.99081,-1.40086,0.00739,0.00881,-0.00042,-0.21354,0.20406,-0.11075,-3.91617,2.83751,-1.93709,-0.01504,0.01447,-0.00627,0.70276,0.59879,0.76909,16.43738,14.63221,17.06453,0.09472,0.08437,0.08932,2.05869,0.48921,0.80285,0.65834,12.52121,17.46972,15.12744,True,0.07968,0.09884,0.08305,1.19794,1.85147,4.73247,7b8f2d0d1c124c4a9b9d9d3b7509b0b7,scene-0035
right,0.681,0.64728,0.71838,16.11908,15.38616,16.39916,0.1126,0.08635,0.08992,0.11083,-0.00823,-0.02674,1.53299,0.277,-0.92559,0.02962,0.00611,-0.00996,-0.01538,0.08512,-0.03371,-0.43993,1.82992,-0.57969,0.00054,0.01075,0.00157,0.57017,0.65551,0.74513,14.58609,15.10916,17.32475,0.08298,0.08024,0.09988,7.08615,0.55479,0.74064,0.71142,14.14616,16.93908,16.74507,True,0.08351,0.09099,0.10146,4.39163,8.54212,11.72871,c93a7e7a083848b9bf26b8438c052426,scene-0035
right,0.64868,0.67033,0.69263,15.62302,15.66366,16.58705,0.09319,0.0889,0.09634,0.04759,-0.09877,0.02722,0.9461,-1.40086,0.50581,0.00684,-0.00042,-0.00431,0.08192,0.05308,-0.13646,1.24419,0.63405,-1.94269,0.00561,0.03693,-0.00712,0.60109,0.76909,0.66542,14.67692,17.06453,16.08124,0.08635,0.08932,0.10065,7.41912,0.68301,0.82217,0.52895,15.92111,17.69857,14.13855,True,0.09196,0.12626,0.09353,4.10753,8.62177,11.8942,c090b86c7b9c4e97a3e145a70c98c631,scene-0035
right,0.64728,0.71838,0.79617,15.38616,16.39916,17.94815,0.08635,0.08992,0.11433,0.00655,-0.02674,0.04068,0.37651,-0.92559,0.6939,0.01444,-0.00996,0.00231,0.03093,-0.14071,0.08082,0.69233,-2.17821,1.57127,0.01642,-0.00993,0.0116,0.64073,0.74513,0.75548,15.00965,17.32475,17.25425,0.07191,0.09988,0.11202,5.33605,0.67167,0.60442,0.8363,15.70198,15.14655,18.82552,True,0.08834,0.08995,0.12362,4.18081,6.55175,7.49638,40ead2f47c8146c581917c05cfda04ea,scene-0035
straight,0.67033,0.69263,0.75106,15.66366,16.58705,17.33942,0.0889,0.09634,0.11075,-0.09511,0.02722,0.24296,-1.4772,0.50581,3.65126,0.00628,-0.00431,0.01731,-0.05025,-0.08353,0.17366,-1.05552,-1.2713,3.39081,0.00621,-0.01346,0.02448,0.76544,0.66542,0.5081,17.14086,16.08124,13.68816,0.08262,0.10065,0.09344,4.19298,0.71518,0.58188,0.68177,16.08534,14.80994,17.07897,True,0.08883,0.08719,0.11792,2.85307,3.59868,7.10586,cc71e504f560478ba9686b0ba983f1e6,scene-0035
straight,0.71838,0.79617,0.73809,16.39916,17.94815,17.24433,0.08992,0.11433,0.12501,0.03194,0.04068,-0.01951,-0.1172,0.6939,0.06972,-0.00691,0.00231,0.02516,-0.01273,0.04305,-0.02033,-0.5893,0.58754,-0.44125,-0.00323,0.01184,0.00563,0.68645,0.75548,0.7576,16.51637,17.25425,17.17461,0.09683,0.11202,0.09985,2.74117,0.67371,0.79853,0.73727,15.92707,17.84179,16.73336,True,0.09361,0.12386,0.10548,1.84709,3.7115,5.01511,d9d546a04a9a41d8984c39e7c53689b6,scene-0035
straight,0.69263,0.75106,0.74332,16.58705,17.33942,17.08994,0.09634,0.11075,0.09845,0.08243,0.24296,0.05847,1.41312,3.65126,1.13094,0.0038,0.01731,-0.00765,0.09457,0.26124,0.03272,1.26798,3.94684,0.75439,0.01655,0.02094,-0.00266,0.6102,0.5081,0.68485,15.17393,13.68816,15.959,0.09254,0.09344,0.1061,3.65839,0.70477,0.76934,0.71757,16.44191,17.63501,16.71339,True,0.10908,0.11437,0.10344,1.92114,4.87359,6.73726,a43d2cd8447b41858887bf536628b0b9,scene-0035
straight,0.79617,0.73809,0.73025,17.94815,17.24433,16.09178,0.11433,0.12501,0.12339,-0.07078,-0.01951,-0.11821,-0.78052,0.06972,-1.87338,-0.00639,0.02516,0.00952,-0.08647,-0.0347,-0.15241,-0.78852,-0.51658,-2.28951,-0.00655,0.00962,-0.01672,0.86694,0.7576,0.84846,18.72867,17.17461,17.96515,0.12073,0.09985,0.11387,3.23801,0.78047,0.7229,0.69605,17.94015,16.65803,15.67564,True,0.11418,0.10947,0.09715,1.34331,3.56125,6.71706,997e5e6c149d4bbcb3c210335f901c3d,scene-0035
right,0.75106,0.74332,0.78082,17.33942,17.08994,16.8706,0.11075,0.09845,0.10814,0.14019,0.05847,0.22951,2.21142,1.13094,3.51468,0.01302,-0.00765,0.01766,0.02081,-0.11407,0.03021,0.35184,-1.70453,0.23721,-0.00421,-0.01404,0.00051,0.61087,0.68485,0.55131,15.12801,15.959,13.35592,0.09773,0.1061,0.09048,2.94841,0.63168,0.57078,0.58152,15.47985,14.25447,13.59313,True,0.09352,0.09205,0.091,1.27997,3.19272,5.75619,57267f4d074b42568f79cd015d5c1a4c,scene-0035
right,0.73809,0.73025,0.62542,17.24433,16.09178,14.7676,0.12501,0.12339,0.09607,0.01593,-0.11821,0.06145,0.81487,-1.87338,0.84264,0.02406,0.00952,0.01458,0.00571,-0.03283,0.19579,0.30714,-0.54671,3.51827,0.01133,-0.00395,0.06235,0.72216,0.84846,0.56398,16.42946,17.96515,13.92496,0.10095,0.11387,0.0815,4.78233,0.72787,0.81563,0.75977,16.7366,17.41845,17.44322,True,0.11228,0.10992,0.14385,2.53562,5.74616,8.7401,af571c22d255499db27ca444d6b9cef9,scene-0035
right,0.74332,0.78082,0.73235,17.08994,16.8706,16.4713,0.09845,0.10814,0.10797,0.2256,0.22951,0.06543,3.48217,3.51468,0.66758,0.00287,0.01766,0.00183,0.08836,-0.03114,0.11074,1.33596,-0.69902,1.40464,-0.00059,-0.00507,0.00414,0.51772,0.55131,0.66692,13.60777,13.35592,15.80372,0.09558,0.09048,0.10614,3.88605,0.60609,0.52017,0.77766,14.94373,12.65689,17.20837,True,0.09499,0.08542,0.11028,1.96507,4.31321,7.63869,814720ee91d54e408e6fd0dd1b356e9c,scene-0035
right,0.73025,0.62542,0.76595,16.09178,14.7676,17.22031,0.12339,0.09607,0.1295,0.16398,0.06145,0.07788,2.31341,0.84264,1.55449,0.03086,0.01458,0.02005,0.22904,-0.10005,0.0882,3.51493,-1.52947,1.70904,0.01696,-0.00409,0.01801,0.56627,0.56398,0.68807,13.77836,13.92496,15.66583,0.09253,0.0815,0.10945,3.655,0.79531,0.46393,0.77627,17.29329,12.39549,17.37487,True,0.10949,0.07741,0.12746,1.82715,4.02809,7.36394,13da317bc2a547f89ee12cdf67c6ce4c,scene-0035
right,0.78082,0.73235,0.77158,16.8706,16.4713,16.79314,0.10814,0.10797,0.16373,0.25463,0.06543,-0.02373,4.1187,0.66758,0.28551,0.01843,0.00183,0.03125,0.04548,-0.0012,-0.08887,0.87945,-0.05288,-0.59188,-0.00043,-0.00586,0.00498,0.52619,0.66692,0.79531,12.7519,15.80372,16.50763,0.08971,0.10614,0.13248,1.74941,0.57167,0.66572,0.70644,13.63134,15.75084,15.91576,True,0.08928,0.10028,0.13745,0.54099,2.50778,2.5097,cad8d994d6b14ffe963e9dc7768d0a0e,scene-0035
